"Month","MaxRate"
2017-01-01,182
2017-02-01,182
2017-03-01,242
2017-04-01,242
2017-05-01,242
2017-06-01,242
2017-07-01,172
2017-08-01,172
2017-09-01,231
2017-10-01,250
2017-11-01,201
2017-12-01,201
